source_id,source_type,title,url,archive_url,outlet,author,date_published,retrieved_date,reliability,notes
S017,Other,Ghost Ship Games ApS - Wikipedia,https://en.wikipedia.org/wiki/Ghost_Ship_Games,,Wikipedia,,,2026-07-15,Reputable secondary,"Copenhagen; founded spring 2016 by ~6 veterans (ex-Press Play). Coffee Stain took 30%, then Embracer/Coffee Stain acquired remaining 70% Aug 2021 (founders received 528M DKK). DRG 8M+ copies. Also runs Ghost Ship Publishing."
S018,Crunchbase/Dealroom,Ghost Ship Games - Tracxn (funding/headcount),https://tracxn.com/d/companies/ghost-ship-games/__WYPMZ_h9MnfOxIv0FVTXIXOE4U-vHNU35d745ElGFXE,,Tracxn,,,2026-07-15,Reputable secondary,Cap Nova (Danish govt games fund) seed 2016 + seed Feb 2017 (~$74k early). ~27-32 emp (2022-23); ~60 by 2026 (LeadIQ). Danish CVR accounts available (proff.dk) - not yet pulled.
S019,Company website,Foulball Hangover - press/about,https://www.foulballhangover.com/press/game-hydroneer/,,Foulball Hangover,,,2026-07-15,Self-reported,"Foulball Hangover LTD, UK; solo dev Max Hayon, grew to 5 FT. Hydroneer self-published, 1M+ copies. Founded year approximate (~2019) - verify via UK Companies House."
S020,Company website,Fire Hose Games - site/press kit,https://www.firehosegames.com/,,Fire Hose Games,,,2026-07-15,Self-reported,Boston MA; founded 2008 by MIT alumni; fully remote. Techtonica self-published (2023). US private - no public financials. Headcount ~15-25 (verify).
S021,Company website,Digital Sun - about page,https://digitalsungames.com/about-us/,,Digital Sun Games,,,2026-07-15,Self-reported,"Valencia, Spain; team since 2013, co. founded 2014 (Javier Gimenez, Ruben Pico); 50+ staff. Moonlighter 2.5M+ (published by 11 bit studios); Cataclismo self-published."
S022,Press article,Digital Sun / Moonlighter funding (Gamespain),https://gamespain.es/digital-sun-success-story/,,Gamespain,,2024-12-13,2026-07-15,Reputable secondary,"Moonlighter Kickstarter funded $134,267 in <1 week (2016) via Square Enix Collective; activity also funded by Spanish Ministry of Culture and Sport (grant). Archive recommended."
S023,Press article,Devolver acquires System Era Softworks (Investegate/Devolver PR),https://www.investegate.co.uk/announcement/rns/devolver-digital-inc-di-reg-s-cat-3-144a--devo/acquisition-of-system-era-softworks-inc/7851931,,Devolver Digital (RNS),,2023-11-01,2026-07-15,Primary,"Seattle WA; founded 2014 (Bromell, Wilson, Pepera, Liechty); 50 employees. Acquired by Devolver up to $40M ($22M initial). Astroneer owns 100% IP, ~$87M lifetime revenue (ANEC)."
S024,Other,HopFrog / Forager - Wikipedia + Forbes,https://en.wikipedia.org/wiki/Forager_(video_game),,Wikipedia / Forbes,,,2026-07-15,Reputable secondary,"HopFrog S.A., Sunchales, Santa Fe, Argentina; solo founder Mariano Cavallero (+contractors). Forager (2019) published by Humble Bundle; 900k units / ~$10M gross (Forbes, ANEC). Founder now based in Bellevue WA. Founded ~2016-17."
S025,Other,Re-Logic / Terraria - Wikipedia,https://en.wikipedia.org/wiki/Re-Logic,,Wikipedia,,,2026-07-15,Reputable secondary,"Floyds Knobs, Indiana; founded 2011 by Andrew 'Redigit' Spinks; ~11 devs. Terraria self-published, 60.7M+ units by Oct 2024 (ANEC). US private - no public financials."
S026,Other,Mobius Digital / Outer Wilds - Wikipedia,https://en.wikipedia.org/wiki/Outer_Wilds,,Wikipedia,,,2026-07-15,Reputable secondary,Los Angeles (DTLA); founded 2013 by Loan Verneau & Masi Oka. Outer Wilds (2019) published by Annapurna Interactive; funded via Fig crowdfunding (investors got 245% return) before Annapurna bought out the Fig stake.
S027,Other,Keen Games GmbH - North Data (HRB 98321),"https://www.northdata.com/Keen+Games+GmbH,+Frankfurt+a.+Main/Amtsgericht+Frankfurt+am+Main+HRB+98321",,Amtsgericht Frankfurt / North Data,,,2026-07-15,Primary,"Frankfurt; Keen Games GmbH, HRB 98321, share capital EUR25,000, MD Jan Jockel. Founded ~2004 (EST - verify via HRB). Small GmbH -> abbreviated Bundesanzeiger filings."
S028,Press article,Keen Games - $10M round (Hiro Capital + Tencent) / headcount,https://leadiq.com/c/keen-games/5a1d9cc823000052008c91db,,BusinessWire / LeadIQ,,2021-07-20,2026-07-15,Reputable secondary,"$10M round 2021-07-20 from Hiro Capital + Tencent (for Enshrouded, Portal Knights spiritual successor). Also German Government grant for next game 'Game38'. ~63 employees (2026). Enshrouded self-published (first self-pub); Portal Knights via 505 Games."
S029,Other,Obsidian Entertainment - Wikipedia + PitchBook,https://en.wikipedia.org/wiki/Obsidian_Entertainment,,Wikipedia / PitchBook,,,2026-07-15,Reputable secondary,"Irvine CA; founded 2003 (Urquhart, Avellone, Parker, Monahan, Jones). Acquired by Microsoft/Xbox Game Studios (announced Nov 2018). ~310 employees (2025). Grounded published by Xbox Game Studios. NB a '$160.5M Series C' online belongs to a same-named biotech, NOT this studio."
S030,Company website,Far From Home - about/press,https://www.farfromhomegames.com/en,,Far From Home S.A.,,,2026-07-15,Self-reported,"Far From Home S.A., Wroclaw, Poland; founded April 2020 by ex-Techland/etc veterans; ~20-23 staff. Forever Skies self-published (Sony partnership for PS5)."
S031,Other,HypeTrain Digital / Voidtrain - Glitchwave + Steam,https://glitchwave.com/game-company/hypetrain-digital/,,Glitchwave / Steam,,,2026-07-15,Unverified,"Voidtrain dev 'Nearly' is tightly tied to publisher HypeTrain Digital (Cyprus-based, founded 2015; Steam lists HypeTrain as dev+publisher). Studio detail (team, exact entity, self-pub) uncertain - FLAG for review. X-Drop candidate."
S032,Press article,The Fun Pimps - about + Behaviour acquisition (InvestGame),https://investgame.net/news/behaviour-interactive-the-fun-pimps-acquisition/,,InvestGame / The Fun Pimps,,2026,2026-07-15,Reputable secondary,"Allen, Texas; founded late 2012 (Richard & Joel Huenink, Christian Lang); grew to ~70 via 7DTD revenue (Kickstarter 2013, no institutional financing). Acquired by Behaviour Interactive (Canada) ~2026. 7DTD revenue $9M(2014)->$72M(2023)->$32M(2025) (analyst est, ANEC)."
S033,Other,Deep Field Games / Abiotic Factor - Wikipedia + site,https://en.wikipedia.org/wiki/Abiotic_Factor,,Wikipedia / Deep Field Games,,,2026-07-15,Reputable secondary,"New Zealand-based; founder Geoff 'Zag' Keene; ~10 devs. Abiotic Factor published by Playstack (UK); Unfortunate Spacemen (2016) self-published. Funding: Alt Ventures 'Kiwi gaming fund' + NZ govt CODE grant NZ$150,000 (June 2022)."
S034,Other,Jagex Limited - Wikipedia + CVC/Haveli PR,https://en.wikipedia.org/wiki/Jagex,,Wikipedia / CVC,,,2026-07-15,Reputable secondary,"Cambridge UK; Jagex Limited incorporated 2000 (founders Andrew & Paul Gower); 700+ staff. Owned by CVC Capital Partners + Haveli Investments since Feb 2024 (from Carlyle, ~GBP910M). RuneScape:Dragonwilds self-published. As a LARGE UK co, files FULL Companies House accounts (real financials available - not yet pulled)."
S035,Press article,SurrounDead - solo dev Zurvivor (Synty blog + press),https://syntystore.com/blogs/blog/made-with-synty-surroundead,,Synty Store / press,,2025-01-15,2026-07-15,Self-reported,"Solo dev under pseudonym 'Zurvivor' (also seen 'Zuraxii'), self-publishing under studio name 'SurrounDead'/PlaySurrounDead. Dev began late 2020, EA Jun 2022. Country UNDISCLOSED (one Moroccan outlet framed it locally but did not confirm nationality) - FLAG. Proposed slug: surroundead (replaces placeholder 'verify')."
S036,Other,Bohemia Interactive a.s. - Wikipedia + About,https://en.wikipedia.org/wiki/Bohemia_Interactive,,Wikipedia / Bohemia,,,2026-07-15,Reputable secondary,"Prague, Czechia; Bohemia Interactive a.s., founded May 1999 (Marek Spanel, Ondrej Spanel, Slavomir Pavlicek); ~500 staff (offices in CZ/Thailand/NL). Tencent minority stake Feb 2021 (undisclosed); founder-controlled via SPM. DayZ self-published. NB 'BISim' (military sim, acquired by BAE 2024) is a SEPARATE entity. Czech register filings available (justice.cz)."
S037,Other,RocketWerkz - Wikipedia + The Spinoff,https://en.wikipedia.org/wiki/RocketWerkz,,Wikipedia / The Spinoff,,,2026-07-15,Reputable secondary,"Auckland NZ (orig. Dunedin); founded Dec 2014 by Dean Hall (DayZ creator); ~65-75 staff. Tencent minority ~45%, Hall majority-owned. Icarus (2021) & Stationeers self-published. NZ private - limited public financials."
S038,Company website,Sand Sailor Studio - site + RGDA,https://rocketreach.co/sand-sailor-studio-profile_b44d8cf2fd1bbafd,,Sand Sailor Studio / RGDA,,,2026-07-15,Self-reported,"Bucharest, Romania; founded 2014 (Creative Director Cristian Diaconescu); ~9-10 staff. Black The Fall (2017) published by Square Enix Collective (Kickstarter + accelerator); Bossgard self-published; ASKA (2024) publisher to verify (possibly Thunderful). Romanian ONRC filings available."
S039,Crunchbase/Dealroom,Jagex Limited - CBInsights + Companies House (03982706),https://www.cbinsights.com/company/jagex/financials,,CBInsights / Companies House,,,2026-07-15,Reputable secondary,"FY2021 revenue $168.95M (from filed accounts, USD-converted); Jan-2021 valuation $530M. Full FY2024 statutory accounts (year-end 31-Dec-2024, filed 4-Jun-2025) available FREE at Companies House 03982706 for exact GBP figures - not yet extracted."
S040,Other,Iron Gate AB - SYNA/Bolagsfakta/hitta/Skaraborgs Nyheter (559203-4820),https://www.bolagsfakta.se/5592034820-Iron_Gate_AB,,SYNA / Bolagsfakta / Bolagsverket,,,2026-07-15,Reputable secondary,"Swedish filed accounts (Bolagsverket, via aggregators). Org.nr 559203-4820, reg 2019-04-24 (SETTLES founded=2019). Multi-year revenue (kSEK): FY2022 170,584 / FY2023 533,487 / FY2024 94,026 / FY2025 83,775. ~60% net margins. NB Iron Gate uses a BROKEN (non-calendar) fiscal year - year labels follow aggregator convention; exact period_end/operating-vs-net splits need the filing PDF."
S041,Other,Ghost Ship Games ApS - proff.dk / krak.dk (CVR 37989819),https://www.proff.dk/regnskab/ghost-ship-games-aps/k%C3%B8benhavn-k/data-og-tv-spil/GWB6Y0I025T,,Erhvervsstyrelsen / proff.dk / krak.dk,,,2026-07-15,Reputable secondary,"Danish filed accounts (CVR). CVR 37989819, reg 2016-09-01, share capital 80,000 DKK. IMPORTANT: Danish small/mid cos aggregate revenue into 'bruttofortjeneste' (gross profit) under section 32 - REVENUE IS NOT SEPARATELY DISCLOSED. FY2025 gross profit 110,584 kDKK, 52 emp, afkastningsgrad 57%; FY2019 gross profit 23,778 kDKK, pre-tax profit 12,272 kDKK."
S042,Press article,Bohemia Interactive a.s. - CzechCrunch/Forbes/Tiscali (ICO 27218864),https://cc.cz/nejvetsi-ceska-herni-firma-je-jeste-vetsi-tvurci-vojenske-serie-arma-vyrostli-vysoko-nad-miliardu/,,CzechCrunch / Forbes CZ / Tiscali,,2026,2026-07-15,Reputable secondary,"Company-reported P&L (Czech register justice.cz, reported via press). ICO 27218864. FY2024 revenue 1.4bn CZK (+34%), operating 951M, net 428M. FY2025 (PRELIMINARY/unaudited) revenue 1.7bn CZK (+23.6%), operating 1,231M, net 792M. 4.85M copies, 17-21M players. Confirms Tencent minority (2021) + SPM ownership."
S043,Other,Digital Sun - Iberinform / eInforma / Empresia (CIF B98768575),https://www.iberinform.es/empresa/6996555/digital-sun-games,,Registro Mercantil de Valencia / Iberinform,,,2026-07-15,Unverified,"ENTITY SPLIT: original 'Digital Sun Games SL' (CIF B98768575, constituted 2015-10-01, share capital EUR62,825) is now largely INACTIVE - last accounts deposit FY2020, facturacion EUR60-120k. Live operating entity appears to be separate 'Digital Sun Studios SL' (CIF B98516321), whose figures are PAYWALLED. Spanish accounts are not freely accessible like Nordic ones - current revenue could not be pulled free."
S044,Other,Far From Home S.A. - BizRaport / rejestr.io (KRS 0000845096),https://www.bizraport.pl/krs/0000845096/far-from-home-spolka-akcyjna,,KRS / RDF / BizRaport,,,2026-07-15,Reputable secondary,"Polish filed accounts (KRS Repozytorium Dokumentow Finansowych). KRS 0000845096, NIP 6751729147, reg 2020-06-08, share capital ~201,400 PLN. LOSS-MAKING (in dev pre-Forever-Skies-1.0). Revenue (PLN): FY2021 1,502,070 / FY2022 2,085,098 / FY2023 4,309,772. Net loss (PLN): FY2021 -951,571 / FY2022 -1,525,510 / FY2023 -1,412,965. Very close profile to the user's own studio."
S045,Other,Sand Sailor Studio SRL - termene.ro / listafirme (CUI 33244826),https://termene.ro/firma/33244826-SAND-SAILOR-STUDIO-SRL,,ONRC / termene.ro,,,2026-07-15,Reputable secondary,"Romanian filed accounts (ONRC). CUI 33244826, J40/6672/2014, reg 2014-06-05, Bucharest Sector 2. FY2024 revenue 2,351,976 RON (+6.95%), net profit 259,943 RON, pre-tax 329,176 RON, 10 employees. Modestly profitable. Earlier years available via termene.ro."
S046,Other,Fig / Outer Wilds crowdfunding - Grokipedia / Digital Trends,https://grokipedia.com/page/Fig_(company),,Fig / Grokipedia / Digital Trends,,2015,2026-07-15,Reputable secondary,"Outer Wilds was Fig's debut campaign (Aug 2015), goal $125-150k. Rewards raised $126,480; equity portion ~$50k accepted (Mobius capped it; more was offered). Some sources cite ~$1.2M including equity. Later bought out by Annapurna."
S047,Other,7 Days to Die Kickstarter - Kicktraq / Kickstarter,https://www.kicktraq.com/projects/7daystodie/7-days-to-die-zombie-survival-game/,,Kickstarter / Kicktraq,,2013-08,2026-07-15,Reputable secondary,"7DTD Kickstarter (Aug 2013) goal $200k, funded to OVER $500,000 (~$507k) via multiple stretch goals. Public Kickstarter final. No institutional financing afterward until Behaviour acquisition (~2026)."
S048,Press article,Jagex GBP annual results 2019-2021 (Jagex PR / mmobomb / 80.lv),https://www.mmobomb.com/news/jagex-annual-financial-results-reveals-runescape-reached-record-high-paid-memberships-due-to-20th-anniversary,,Jagex / mmobomb / 80.lv,Anthony Jones,2022-10-27,2026-07-15,Reputable secondary,"Jagex-announced native-GBP revenue: FY2019 GBP110.9M (5th growth yr); FY2020 GBP120M (6th yr, Covid); FY2021 GBP124.86M (7th yr, +4%, RuneScape 20th anniv, 1.2M members). Jagex STOPPED press-releasing revenue after FY2021 (PE-owned from 2024). FY2022-2024 full accounts filed at Companies House 03982706 (bot-blocked to automated fetch; manual PDF download works). RuneScape passed $2B lifetime revenue (Mar 2025)."
S049,Postmortem/Blog,Black The Fall Kickstarter - Kickstarter / Kicktraq,https://www.kickstarter.com/projects/503519380/black-the-fall,,Kickstarter / Kicktraq,,2014-10-31,2026-07-15,Primary,"Black The Fall raised GBP28,485 from 1,669 backers (goal GBP25,000 / ~$40k), campaign Sep 30-Oct 31 2014, via Square Enix Collective. Public Kickstarter final = HARD. Game released Jul 2017."
S050,Other,Gamalytic - competitor game stats export (copies sold & gross revenue estimates),https://gamalytic.com/,,Gamalytic,,,2026-07-15,Reputable secondary,"Third-party model ESTIMATE, not sales data. One point per game = est_units_mid / est_revenue_gross_mid in estimates.csv. Revenue is GROSS. Wishlist counts paywalled (export gave a boolean only)."
